query,entity_name,entity_type,description,source_id,file_path,created_at
市民的個人化的 AI 助理可以分析甚麼事情?,New Regulations,concept,"New Regulations refer to upcoming legal frameworks that may affect energy centers, transportation networks, and citizens' lives.",chunk-de69eaf6daa940c78737f99950efcf1d,./inputs/政策與永續決策委員會.txt,1760433363
市民的個人化的 AI 助理可以分析甚麼事情?,Citizen,person,A citizen is an individual who is entitled to the rights and responsibilities of a member of a particular society or state.,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,Citizens' Lives,concept,Citizens' Lives encompasses the daily experiences and conditions of individuals affected by regulatory changes.,chunk-de69eaf6daa940c78737f99950efcf1d,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,Personalized AI Assistant,concept,A personalized AI assistant is a concept that provides individualized support to citizens by analyzing their lifestyle patterns.,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,Policy,concept,Policy refers to the regulations and guidelines established by the Committee through the platform.,chunk-0e448ab5dd5060530851a569d04fa8c2,./inputs/政策與永續決策委員會.txt,1760433363
市民的個人化的 AI 助理可以分析甚麼事情?,Lifestyle Pattern,concept,"A lifestyle pattern refers to the habitual behaviors, preferences, and routines that characterize an individual's way of life.",chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,個人行為,concept,Individual actions that interact with the cloud model to create a positive feedback loop with city operations.,chunk-67889f9c59eaba99a839486e0f8374c9,./inputs/公民AI助理的角色.txt,1760433010
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,concept,"Assistant is a system or entity that detects urban traffic congestion and energy peaks.<SEP>Assistant refers to the entity providing lifestyle analysis, energy conservation, health recommendations, and travel advice based on the input text.",chunk-ec21914d8f0fba3cf115a0d1985925ef<SEP>chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433010
市民的個人化的 AI 助理可以分析甚麼事情?,能源需求,concept,The demand for energy in a particular context.,chunk-d77b85f67d8545f7d9d9d0c2f08951f8,./inputs/自駕交通與能源整合.txt,1760432936
市民的個人化的 AI 助理可以分析甚麼事情?,Lifestyle Analysis,concept,Lifestyle Analysis refers to the examination of an individual's daily habits and routines to identify areas for improvement.,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,Population Activities,concept,"Population activities denote human movements and behaviors, which are modeled as part of the simulation process.<SEP>Population activities represent the collective behaviors and movements of people, which are analyzed by data scientists and policy makers.",chunk-b0c54f369c803b8f3a3713f8be2e7886<SEP>chunk-0db6d0e150ebb29a169cbf3ed947c162,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,AI,concept,"AI is a system that automatically adjusts power supply based on weather forecasts and city electricity usage.<SEP>AI refers to artificial intelligence systems responsible for managing the Energy Center in Future City.<SEP>The artificial intelligence that enables the system's autonomous navigation to the fast charging station.<SEP>An artificial intelligence system capable of adjusting based on traffic flow, energy demand, and weather conditions.<SEP>AI refers to artificial intelligence systems that provide reports or information, though the specific content is incomplete in the text.<SEP>AI refers to the system or technology that generates reports and model results for public access.",chunk-60efa47a9588fffe56a77d9403dbaa0b<SEP>chunk-780885d3488524aa612424d934a12bea<SEP>chunk-98edab2bedb985603fbc7f84904fcf81<SEP>chunk-cd1c19cf4e7a3c4c12828f8710a1bf49<SEP>chunk-d77b85f67d8545f7d9d9d0c2f08951f8<SEP>chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/能源中心與智慧電網.txt<SEP>./inputs/自駕交通與能源整合.txt<SEP>./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,政策,concept,Policy is a concept that the Urban Sustainability Committee formulates using the AI simulation platform.,chunk-f9da756f2ddae291698775218f4a8106,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,Reports,content,Reports are documents produced by AI that are made available for citizens to review.,chunk-60efa47a9588fffe56a77d9403dbaa0b,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,Demand,concept,Demand refers to the requirements or needs that influence the coordination of urban mobility efficiency.,chunk-92ce7e2ac1ee827e24cbddcd0827d402,./inputs/自駕交通與能源整合.txt,1760432934
市民的個人化的 AI 助理可以分析甚麼事情?,Report,content,"A report provided by AI, though the specific content is incomplete in the text.",chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,Policy Makers,person,Policy makers are individuals involved in creating regulations and can use graphical instruments to support their work.,chunk-0db6d0e150ebb29a169cbf3ed947c162,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,Decision-Making Process,concept,"The decision-making process is described as transparent and open, indicating a public and accountable approach to governance.",chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,AI助理,concept,AI助理denotes artificial intelligence assistants that rely on the terminal system as their learning foundation.,chunk-fa9cb72811d1150610f44d9fef96caba,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,端系統,concept,端系統refers to a foundational system that serves as the learning basis for AI assistants.,chunk-fa9cb72811d1150610f44d9fef96caba,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,Health Recommendations,concept,Health Recommendations provide guidance on maintaining physical and mental well-being through lifestyle modifications.,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,Assistants,concept,Assistants are entities that synchronize with the City Cloud Model to coordinate electricity management tasks.,chunk-5b01ab536505f871246e840bf6212428,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,City Cloud Model,concept,City Cloud Model is a system or framework that enables synchronization with assistants for managing electricity usage.,chunk-5b01ab536505f871246e840bf6212428,./inputs/公民AI助理的角色.txt,1760433011
市民的個人化的 AI 助理可以分析甚麼事情?,City Electricity Usage,data,City electricity usage is data used by AI to adjust power supply.,chunk-98edab2bedb985603fbc7f84904fcf81,./inputs/能源中心與智慧電網.txt,1760432230
