query,src_id,tgt_id,description,keywords,weight,source_id,file_path,created_at
市民的個人化的 AI 助理可以分析甚麼事情?,Citizen,Personalized AI Assistant,A citizen is associated with a personalized AI assistant that is tailored to their specific needs and behaviors.,"individualization,ownership",1.0,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Lifestyle Pattern,Personalized AI Assistant,A personalized AI assistant is capable of analyzing an individual's lifestyle pattern to provide insights and support.,"analysis,data processing",1.0,chunk-197b44a9ab3ec13c1fc107b407614153,./inputs/公民AI助理的角色.txt,1760433013
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Reports,AI produces reports that are made available for citizens to review.,"information generation,public access",1.0,chunk-60efa47a9588fffe56a77d9403dbaa0b,./inputs/政策與永續決策委員會.txt,1760433366
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Lifestyle Analysis,"Assistant conducts lifestyle analysis to inform energy conservation, health, and travel recommendations.","analysis execution,recommendation basis",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433013
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Report,"AI is associated with providing reports or information, as indicated in the text.","information provision,technological support",1.0,chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433368
市民的個人化的 AI 助理可以分析甚麼事情?,AI,Decision-Making Process,AI is associated with providing reports or information that supports the decision-making process.,"information provision,technological support",1.0,chunk-d5edadc5b8bd3927a0b9de3fb2b64256,./inputs/政策與永續決策委員會.txt,1760433367
市民的個人化的 AI 助理可以分析甚麼事情?,AI助理,端系統,端系統provides the foundational structure upon which AI助理's learning processes are based.,"dependency,learning foundation",1.0,chunk-fa9cb72811d1150610f44d9fef96caba,./inputs/雲端資料與城市模型.txt,1760432275
市民的個人化的 AI 助理可以分析甚麼事情?,Assistants,City Cloud Model,Assistants synchronize with the City Cloud Model to coordinate electricity usage adjustments.,"integration,synchronization",1.0,chunk-5b01ab536505f871246e840bf6212428,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Assistant,Health Recommendations,Assistant delivers health recommendations tailored to individual lifestyle patterns.,"advice provision,wellness",1.0,chunk-67fa9cfe1b510625e6077a975e5ac8b2,./inputs/公民AI助理的角色.txt,1760433012
市民的個人化的 AI 助理可以分析甚麼事情?,Citizens,Model Results,Model results are made available to citizens for review and analysis.,"data accessibility,public engagement",1.0,chunk-60efa47a9588fffe56a77d9403dbaa0b,./inputs/政策與永續決策委員會.txt,1760433367
